symbol,entry_timestamp,entry_price,entry_qty,entry_side,exit_timestamp,exit_price,exit_qty,exit_side,pnl,charges,pat
NIFTY02JAN2523750CE,2025-01-02 09:30:00,124.276,75,SELL,2025-01-02 15:15:00,438.438,75,BUY,-23562.15,50.0,-23612.15
NIFTY02JAN2523750PE,2025-01-02 09:30:00,104.645,75,SELL,2025-01-02 15:15:00,0.2,75,BUY,7833.375,50.0,7783.375
NIFTY30JAN25FUT,2025-01-02 11:00:00,24016.26,1,SELL,2025-01-02 12:30:00,24142.118,1,BUY,-125.858,200.0,-325.858
NIFTY30JAN25FUT,2025-01-02 11:15:00,24029.397,2,SELL,2025-01-02 12:30:00,24142.118,2,BUY,-225.442,200.0,-425.442
NIFTY30JAN25FUT,2025-01-02 11:30:00,24050.825,4,SELL,2025-01-02 12:30:00,24142.118,4,BUY,-365.172,200.0,-565.172
NIFTY30JAN25FUT,2025-01-02 11:45:00,24035.69,8,SELL,2025-01-02 12:30:00,24142.118,8,BUY,-851.424,200.0,-1051.424
NIFTY30JAN25FUT,2025-01-02 12:00:00,24025.95,15,SELL,2025-01-02 12:30:00,24142.118,15,BUY,-1742.52,200.0,-1942.52
NIFTY30JAN25FUT,2025-01-02 12:15:00,24015.96,30,SELL,2025-01-02 12:30:00,24142.118,30,BUY,-3784.74,200.0,-3984.74
NIFTY30JAN25FUT,2025-01-02 12:45:00,24123.253,1,SELL,2025-01-02 14:30:00,24263.739,1,BUY,-140.486,200.0,-340.486
NIFTY30JAN25FUT,2025-01-02 13:00:00,24134.691,2,SELL,2025-01-02 14:30:00,24263.739,2,BUY,-258.096,200.0,-458.096
NIFTY30JAN25FUT,2025-01-02 13:15:00,24154.072,4,SELL,2025-01-02 14:30:00,24263.739,4,BUY,-438.668,200.0,-638.668
NIFTY30JAN25FUT,2025-01-02 13:30:00,24167.808,8,SELL,2025-01-02 14:30:00,24263.739,8,BUY,-767.448,200.0,-967.448
NIFTY30JAN25FUT,2025-01-02 13:45:00,24208.218,16,SELL,2025-01-02 14:30:00,24263.739,16,BUY,-888.336,200.0,-1088.336
NIFTY30JAN25FUT,2025-01-02 14:00:00,24185.49,32,SELL,2025-01-02 14:30:00,24263.739,32,BUY,-2503.968,200.0,-2703.968
NIFTY30JAN25FUT,2025-01-02 14:15:00,24205.171,63,SELL,2025-01-02 14:30:00,24263.739,63,BUY,-3689.784,200.0,-3889.784
NIFTY30JAN25FUT,2025-01-02 14:30:00,24263.739,1,BUY,2025-01-02 15:15:00,24260.665,1,SELL,-3.074,200.0,-203.074
NIFTY30JAN25FUT,2025-01-09 13:30:00,23659.586,1,BUY,2025-01-09 15:15:00,23621.855,1,SELL,-37.731,200.0,-237.731
NIFTY30JAN25FUT,2025-01-16 14:30:00,23396.423,1,BUY,2025-01-16 15:15:00,23337.839,1,SELL,-58.584,200.0,-258.584
NIFTY30JAN25FUT,2025-01-23 09:45:00,23213.763,1,SELL,2025-01-23 11:15:00,23294.271,1,BUY,-80.508,200.0,-280.508
NIFTY30JAN25FUT,2025-01-23 10:00:00,23224.752,2,SELL,2025-01-23 11:15:00,23294.271,2,BUY,-139.038,200.0,-339.038
NIFTY30JAN25FUT,2025-01-23 10:15:00,23247.529,4,SELL,2025-01-23 11:15:00,23294.271,4,BUY,-186.968,200.0,-386.96799999999996
NIFTY30JAN25FUT,2025-01-23 10:30:00,23266.91,8,SELL,2025-01-23 11:15:00,23294.271,8,BUY,-218.888,200.0,-418.88800000000003
NIFTY30JAN25FUT,2025-01-23 10:45:00,23263.513,16,SELL,2025-01-23 11:15:00,23294.271,16,BUY,-492.128,200.0,-692.1279999999999
NIFTY30JAN25FUT,2025-01-23 11:00:00,23242.484,31,SELL,2025-01-23 11:15:00,23294.271,31,BUY,-1605.397,200.0,-1805.397
NIFTY30JAN25FUT,2025-01-23 11:30:00,23246.73,1,SELL,2025-01-23 13:15:00,23315.943,1,BUY,-69.213,200.0,-269.21299999999997
NIFTY30JAN25FUT,2025-01-23 11:45:00,23236.74,2,SELL,2025-01-23 13:15:00,23315.943,2,BUY,-158.406,200.0,-358.406
NIFTY30JAN25FUT,2025-01-23 12:00:00,23236.74,4,SELL,2025-01-23 13:15:00,23315.943,4,BUY,-316.812,200.0,-516.812
