symbol,closed_trades,realized_pnl,charges,pat
NIFTY02JAN2523750CE,1,-23562.15,0.0,-23562.15
NIFTY02JAN2523750PE,1,7833.375,0.0,7833.375
NIFTY30JAN25FUT,9,-587.166,0.0,-587.166
NIFTY09JAN2523600CE,1,3334.125,0.0,3334.125
NIFTY09JAN2523600PE,1,-2787.975,0.0,-2787.975
NIFTY16JAN2523350CE,1,2191.575,0.0,2191.575
NIFTY16JAN2523350PE,1,-276.9,0.0,-276.9
NIFTY23JAN2523100PE,1,2581.125,0.0,2581.125
NIFTY23JAN2523100CE,1,-3743.25,0.0,-3743.25
NIFTY30JAN2523150CE,1,2567.475,0.0,2567.475
NIFTY30JAN2523150PE,1,9107.1,0.0,9107.1
