symbol,timestamp,side,quantity,price
NIFTY02JAN2523650CE,2025-01-01 09:30:00,SELL,50,117.932
NIFTY02JAN2523650PE,2025-01-01 09:30:00,SELL,50,113.886
NIFTY30JAN25FUT,2025-01-01 09:45:00,BUY,2500,23763.69
NIFTY30JAN25FUT,2025-01-01 10:00:00,SELL,125000,23713.113
NIFTY30JAN25FUT,2025-01-01 10:15:00,BUY,6250000,23803.079
NIFTY30JAN25FUT,2025-01-01 10:30:00,SELL,312505000,23782.194
NIFTY30JAN25FUT,2025-01-01 10:45:00,BUY,15625250000,23829.356
NIFTY30JAN25FUT,2025-01-01 11:00:00,SELL,781262500000,23863.113
NIFTY30JAN25FUT,2025-01-01 11:15:00,BUY,39063125000000,23910.587
NIFTY30JAN25FUT,2025-01-01 11:30:00,SELL,1953156250000000,23844.132
NIFTY30JAN25FUT,2025-01-01 11:45:00,BUY,97657812499999996,23883.46
NIFTY30JAN25FUT,2025-01-01 12:00:00,SELL,4882890625000000208,23806.17
NIFTY30JAN25FUT,2025-01-01 12:15:00,BUY,244144531250000017408,23886.813
NIFTY30JAN25FUT,2025-01-01 12:30:00,SELL,12207226562500000612352,23871.355
NIFTY30JAN25FUT,2025-01-01 12:45:00,BUY,610361328125000030355456,23914.891
NIFTY30JAN25FUT,2025-01-01 13:00:00,SELL,30518066406250001651990528,23838.787
NIFTY30JAN25FUT,2025-01-01 13:15:00,BUY,1525903320312500056963940352,23888.615
NIFTY30JAN25FUT,2025-01-01 13:30:00,SELL,76295166015625006120962097152,23861.115
NIFTY30JAN25FUT,2025-01-01 13:45:00,BUY,3814758300781250379715383918592,23907.383
NIFTY30JAN25FUT,2025-01-01 14:00:00,SELL,190737915039062502167639337467904,23917.059
NIFTY30JAN25FUT,2025-01-01 14:15:00,BUY,9536895751953125235608656346611712,23951.427
NIFTY30JAN25FUT,2025-01-01 14:30:00,SELL,476844787597656261924548005406441472,23890.086
NIFTY30JAN25FUT,2025-01-01 14:45:00,BUY,23842239379882813686523210629027725312,23927.053
NIFTY30JAN25FUT,2025-01-01 15:00:00,SELL,1192111968994140703805922273288672772096,23866.26
NIFTY02JAN2523650CE,2025-01-01 15:15:00,BUY,50,206.306
NIFTY02JAN2523650PE,2025-01-01 15:15:00,BUY,50,68.819
NIFTY30JAN25FUT,2025-01-01 15:15:00,BUY,1168737224504059513905599599919847440384,23921.848
