symbol,timestamp,side,quantity,price
NIFTY02JAN2523750CE,2025-01-02 09:30:00,SELL,50,124.276
NIFTY02JAN2523750PE,2025-01-02 09:30:00,SELL,50,104.645
NIFTY30JAN25FUT,2025-01-02 09:45:00,SELL,1,23919.057
NIFTY02JAN2523750CE,2025-01-02 15:15:00,BUY,50,438.438
NIFTY02JAN2523750PE,2025-01-02 15:15:00,BUY,50,0.2
NIFTY30JAN25FUT,2025-01-02 15:15:00,BUY,1,24309.235
NIFTY09JAN2523600CE,2025-01-09 09:30:00,SELL,50,44.555
NIFTY09JAN2523600PE,2025-01-09 09:30:00,SELL,50,42.907
NIFTY30JAN25FUT,2025-01-09 09:45:00,SELL,1,23667.808
NIFTY30JAN25FUT,2025-01-09 11:00:00,BUY,2,23659.135
NIFTY09JAN2523600CE,2025-01-09 15:15:00,BUY,50,0.1
NIFTY09JAN2523600PE,2025-01-09 15:15:00,BUY,50,80.08
NIFTY30JAN25FUT,2025-01-09 15:15:00,SELL,1,23621.855
NIFTY16JAN2523350CE,2025-01-16 09:30:00,SELL,50,29.321
NIFTY16JAN2523350PE,2025-01-16 09:30:00,SELL,50,44.206
NIFTY30JAN25FUT,2025-01-16 09:45:00,BUY,1,23405.382
NIFTY16JAN2523350CE,2025-01-16 15:15:00,BUY,50,0.1
NIFTY16JAN2523350PE,2025-01-16 15:15:00,BUY,50,47.898
NIFTY30JAN25FUT,2025-01-16 15:15:00,SELL,1,23337.839
NIFTY23JAN2523100CE,2025-01-23 09:30:00,SELL,50,54.745
NIFTY23JAN2523100PE,2025-01-23 09:30:00,SELL,50,34.565
NIFTY30JAN25FUT,2025-01-23 09:45:00,SELL,1,23213.763
NIFTY23JAN2523100CE,2025-01-23 15:15:00,BUY,50,104.655
NIFTY23JAN2523100PE,2025-01-23 15:15:00,BUY,50,0.15
NIFTY30JAN25FUT,2025-01-23 15:15:00,BUY,1,23282.709
NIFTY30JAN2523150CE,2025-01-30 09:30:00,SELL,50,125.574
NIFTY30JAN2523150PE,2025-01-30 09:30:00,SELL,50,121.628
NIFTY30JAN25FUT,2025-01-30 09:45:00,SELL,1,23170.756
NIFTY30JAN2523150CE,2025-01-30 15:15:00,BUY,50,91.341
NIFTY30JAN2523150PE,2025-01-30 15:15:00,BUY,50,0.2
NIFTY30JAN25FUT,2025-01-30 15:15:00,BUY,1,23263.34
