symbol,closed_trades,realized_pnl,charges,pat
NIFTY02JAN2523750CE,1,-235621.5,50.0,-235671.5
NIFTY02JAN2523750PE,1,78333.75,50.0,78283.75
NIFTY30JAN25FUT,80,-759699.075,16000.0,-775699.075
NIFTY09JAN2523600CE,1,33341.25,50.0,33291.25
NIFTY09JAN2523600PE,1,-27879.75,50.0,-27929.75
NIFTY16JAN2523350CE,1,21915.75,50.0,21865.75
NIFTY16JAN2523350PE,1,-2769.0,50.0,-2819.0
NIFTY23JAN2523100CE,1,-37432.5,50.0,-37482.5
NIFTY23JAN2523100PE,1,25811.25,50.0,25761.25
NIFTY30JAN2523150CE,1,25674.75,50.0,25624.75
NIFTY30JAN2523150PE,1,91071.0,50.0,91021.0
NIFTY06FEB2523700CE,1,45030.0,50.0,44980.0
NIFTY06FEB2523700PE,1,-20465.25,50.0,-20515.25
NIFTY27FEB25FUT,79,-617663.55,15800.0,-633463.55
NIFTY13FEB2523000CE,1,49066.5,50.0,49016.5
NIFTY13FEB2523000PE,1,55557.0,50.0,55507.0
NIFTY20FEB2522850PE,1,45966.0,50.0,45916.0
NIFTY20FEB2522850CE,1,-2982.0,50.0,-3032.0
NIFTY27FEB2522550CE,1,31916.25,50.0,31866.25
NIFTY27FEB2522550PE,1,16780.5,50.0,16730.5
NIFTY06MAR2522350CE,1,-104288.25,50.0,-104338.25
NIFTY06MAR2522350PE,1,45254.25,50.0,45204.25
NIFTY27MAR25FUT,68,-644539.725,13600.0,-658139.725
NIFTY13MAR2522500CE,1,18993.75,50.0,18943.75
NIFTY13MAR2522500PE,1,-37092.75,50.0,-37142.75
NIFTY20MAR2523050CE,1,-55768.5,50.0,-55818.5
NIFTY20MAR2523050PE,1,33378.75,50.0,33328.75
NIFTY27MAR2523550CE,1,18368.25,50.0,18318.25
NIFTY27MAR2523550PE,1,43044.0,50.0,42994.0
